Contents,CoreID,N,d15N,C,d13C
Blades,YM3D_3_20_1,1.445382603,0.472782642,39.90681677,-6.072523244
Blades,YM3D_3_20_1,1.466097919,0.408585253,40.55801783,-5.994145841
Blades,YM3D_3_20_1,1.469035904,0.426640769,40.45281288,-6.22153707
Blades,YM3D_3_20_1,1.459115938,0.458739463,40.43993082,-6.623100302
Blades,YM3D_3_20_1,1.46944354,0.509896757,40.45086543,-5.73095259
Blades,YM3D_3_20_1,1.476815342,0.386517401,40.44308785,-5.812232859
Blades,YM3D_3_20_2,1.662477312,-0.169910828,41.47479586,-6.585736231
Blades,YM3D_3_20_2,1.676737765,-0.297910271,41.6555513,-6.390176417
Blades,YM3D_3_20_2,1.678291941,-0.171942566,41.67151995,-7.229933264
Blades,YM3D_3_20_2,1.664001641,-0.230862944,41.39225058,-6.503294348
Blades,YM3D_3_20_2,1.670436432,-0.304005483,41.59529076,-7.008490534
Blades,YM3D_3_20_2,1.667975907,-0.265402476,41.4525027,-6.36716938
Blades,YM3D_3_20_2,1.673890971,-0.279624637,41.43737053,-6.489873577
Blades,YM3D_3_20_2,1.646762964,-0.285719848,40.91182971,-6.243506557
Blades,YM3D_3_20_2,1.661373269,-0.317211775,41.32763393,-6.450569889
Blades,YM3D_3_20_2,1.666272705,-0.140450639,41.19286706,-6.401679935
Blades,YM3D_3_20_3,1.634481212,-0.928764669,41.69942917,-7.50793496
Blades,YM3D_3_20_3,1.598554792,-0.839368233,40.54665785,-7.148450008
Blades,YM3D_3_20_3,1.638922199,-0.84139997,41.53062108,-7.319085532
Blades,YM3D_3_20_3,1.622272638,-0.918605983,41.48562833,-7.499307321
Blades,YM3D_3_20_3,1.605100162,-0.768257431,40.66305406,-7.452334621
Blades,YM3D_3_20_3,1.644420014,-0.789590671,41.44585234,-6.76020626
Blades,YM3D_3_20_3,1.613026096,-0.8921934,41.04649638,-7.171457045
Blades,YM3D_3_20_3,1.609622696,-0.851558656,40.77324799,-6.498501216
Blades,YM3D_3_20_3,1.606703143,-0.907431428,40.67104734,-6.942345303
Blades,YM3D_3_20_3,1.611187807,-0.835304758,40.79966482,-6.996987015
Blades,YM4A_1_1_1,1.69005426,0.123494339,41.81581712,-8.540430202
Blades,YM4A_1_1_2,1.620537664,0.843325463,40.01929165,-7.531950906
Blades,YM4A_1_1_3,1.483145383,0.881050324,40.86379106,-7.956573767
Blades,YM4A_1_20_1,1.465336125,-0.352654577,41.66954334,-8.59350806
Blades,YM4A_1_20_2,1.425077609,-0.48010343,40.98079084,-8.109909801
Blades,YM4A_1_20_3,1.493160083,1.587626767,40.94970592,-7.633192005
Blades,YM4A_2_1_1,1.499185065,0.2168642,41.6459668,-7.884293215
Blades,YM4A_2_1_2,1.688838033,1.112740076,41.34054825,-7.709157884
Blades,YM4A_2_1_3,1.629616178,0.199577151,42.58305693,-7.432107642
Blades,YM4A_2_20_1,1.627182592,-0.061762349,41.11338071,-7.668589813
Blades,YM4A_2_20_2,1.649561067,2.598409377,41.16670744,-7.337118988
Blades,YM4A_2_20_3,1.512670483,0.119243219,40.7878063,-7.789304561
Blades,YM4A_3_1_1,1.533325925,0.96647932,42.34074831,-8.125175756
Blades,YM4A_3_1_2,1.526051215,0.011740188,41.24820292,-7.567118922
Blades,YM4A_3_1_3,1.562717041,1.374496149,41.42649586,-7.973787998
Blades,YM4A_3_20_1,1.466069183,0.71539204,40.91768616,-7.435520413
Blades,YM4A_3_20_2,1.48702264,0.020852227,42.02992514,-7.307879754
Blades,YM4A_3_20_2,1.48702264,0.169682187,42.02992514,-7.507751174
Blades,YM4A_3_20_2,1.48702264,-0.002434093,42.02992514,-7.54238236
Blades,YM4A_3_20_3,1.447000618,-0.156326297,40.8482096,-6.961567889
Blades,YM4B_1_1_1,1.473447647,1.142065575,40.57437005,-8.194441204
Blades,YM4B_1_1_2,1.443288547,0.831090373,39.37907883,-8.776331792
Blades,YM4B_1_1_3,1.585181334,-0.798215768,43.02015784,-7.988027313
Blades,YM4B_1_20_1,1.321731972,-0.063090782,39.83879905,-7.955590844
Blades,YM4B_1_20_2,1.401329252,0.252982374,40.50289608,-7.708877098
Blades,YM4B_1_20_2,1.401914341,0.257060738,40.03255249,-7.690201556
Blades,YM4B_1_20_3,1.431285414,0.270315418,41.42747046,-9.380829615
Blades,YM4B_2_1_1,1.545348491,0.673445662,41.71915346,-9.057798881
Blades,YM4B_2_1_2,1.353613074,0.700901563,39.97453538,-9.172576839
Blades,YM4B_2_1_3,1.536280803,0.337873541,41.4222871,-9.537689478
Blades,YM4B_2_20_1,1.670411341,0.587010419,40.15031658,-6.591062266
Blades,YM4B_2_20_2,1.883999832,1.6476217,41.87190837,-7.11844719
Blades,YM4B_2_20_3,1.687241333,0.064331418,41.67693241,-7.442002294
Blades,YM4B_3_1_1,1.443952523,0.639458387,41.36313819,-8.470498159
Blades,YM4B_3_1_2,1.475460357,0.250678083,41.34017429,-8.087576182
Blades,YM4B_3_1_3,1.478140557,0.860172205,42.56335125,-9.416424281
Blades,YM4B_3_20_1,1.51586414,0.169682187,41.28667819,-9.175984901
Blades,YM4B_3_20_2,1.572928605,0.296238275,41.06505456,-8.264689964
