"","timestep","ag_biomass","bg_biomass","ag_production","bg_production","distance","xy_int"
"17965",40380,926.31,1520.07909401826,412.210699886724,1.1394506596298,1,"1.5.-0.5"
"17966",40392,926.31,1520.08904854494,411.515194130712,1.13943414692312,1,"1.5.-0.5"
"17967",40404,926.31,1520.09892067102,408.724467908614,1.13936700185786,1,"1.5.-0.5"
"17968",40416,926.31,1520.10813258707,382.002679219935,1.13872192116287,1,"1.5.-0.5"
"17969",40428,926.31,1520.11720543294,376.76715748175,1.13859696863983,1,"1.5.-0.5"
"17970",40440,926.31,1520.12634001776,379.843942842679,1.13867261219275,1,"1.5.-0.5"
"17971",40452,926.31,1520.13546347842,379.903853529133,1.13867548734197,1,"1.5.-0.5"
"17972",40464,926.31,1520.14482982149,390.535036967369,1.13893235209525,1,"1.5.-0.5"
"17973",40476,926.31,1520.15484945238,418.315641087596,1.13959999458166,1,"1.5.-0.5"
"17974",40488,926.31,1520.16499874586,424.360569001758,1.13974501316079,1,"1.5.-0.5"
"17975",40500,926.31,1520.17480099443,410.501827133587,1.13941352306392,1,"1.5.-0.5"
"17976",40512,926.31,1520.18382801507,378.651412253967,1.13865331815759,1,"1.5.-0.5"
"17977",40524,926.31,1520.19285593412,379.205792339402,1.13866805157431,1,"1.5.-0.5"
"17978",40536,926.31,1520.20187152039,379.205883185263,1.13866955525646,1,"1.5.-0.5"
"17979",40548,926.31,1520.21086532593,378.807701223181,1.13866159216195,1,"1.5.-0.5"
"17980",40560,926.31,1520.22043783737,403.686630908516,1.13925408240539,1,"1.5.-0.5"
"17981",40572,926.31,1520.23045800408,423.145654891501,1.13971640907585,1,"1.5.-0.5"
"17982",40584,926.31,1520.24047652678,423.719586430932,1.13973012265433,1,"1.5.-0.5"
"17983",40596,926.31,1520.25014411226,409.523538691574,1.13939454060983,1,"1.5.-0.5"
"17984",40608,926.31,1520.25913155928,381.320678844815,1.1387292195559,1,"1.5.-0.5"
"17985",40620,926.31,1520.26805457171,379.109096533735,1.13867856001343,1,"1.5.-0.5"
"17986",40632,926.31,1520.27696776454,379.206708099809,1.13868241679302,1,"1.5.-0.5"
"17987",40644,926.31,1520.28586604516,379.087104356382,1.13868116598587,1,"1.5.-0.5"
"17988",40656,926.31,1520.29559847126,415.120499792276,1.13952895009606,1,"1.5.-0.5"
"17989",40668,926.31,1520.30565810983,429.690565559315,1.13987107980847,1,"1.5.-0.5"
"17990",40680,926.31,1520.31564933934,427.428370297188,1.13981808963217,1,"1.5.-0.5"
"17991",40692,926.31,1520.32533196258,414.879559825175,1.13952479748514,1,"1.5.-0.5"
"17992",40704,926.31,1520.33424568635,382.554167422233,1.13877073922231,1,"1.5.-0.5"
"17993",40716,926.31,1520.34315398485,382.842790217837,1.13877897671136,1,"1.5.-0.5"
"17994",40728,926.31,1520.35203904761,382.36644567328,1.13876939547481,1,"1.5.-0.5"
"17995",40740,926.31,1520.36088579601,381.238472886966,1.13874470010433,1,"1.5.-0.5"
"17996",40752,926.31,1520.3703510579,408.396710104076,1.13937677393915,1,"1.5.-0.5"
"17997",40764,926.31,1520.37985434722,410.629776719259,1.13942930984194,1,"1.5.-0.5"
"17998",40776,926.31,1520.38968026376,425.165777007234,1.13976650394761,1,"1.5.-0.5"
"17999",40788,926.31,1520.39894458341,401.510164244333,1.1392199685497,1,"1.5.-0.5"
