SampleID,N,d15N,C,d13C
YM1D_2_20_3_Rt,0.7122634,-0.643063983,38.42959081,-7.702453708
YM1D_2_20_3_Rz,0.457248558,-0.938761862,40.3070839,-7.833273594
YM1D_2_20_3_S,0.747477262,-0.990231459,39.11942685,-7.920486852
YM1D_3_1_1_Rt,1.041322264,0.771286209,39.24487122,-7.733015611
YM1D_3_1_1_Rz,0.53755876,1.214421004,36.73870813,-8.518814154
YM1D_3_1_1_S,1.022456175,1.500920889,38.44533559,-9.356640933
YM1D_3_1_2_Rt,0.937061542,0.66298645,39.51577936,-7.80390722
YM1D_3_1_2_Rz,0.635827142,0.440425477,37.86411031,-7.377559091
YM1D_3_1_2_S,1.047349473,1.421084765,40.16418092,-10.34801737
YM1D_3_1_3_Rt,0.957755428,0.669941481,38.79178559,-8.311131693
YM1D_3_1_3_Rz,0.671565623,1.597941253,39.4992013,-8.546771409
YM1D_3_1_3_S,1.123830305,1.405187553,40.39220092,-10.27113492
YM1D_3_20_1_Rt,0.813576143,-0.081072927,38.10810078,-8.713364673
YM1D_3_20_1_Rz,0.562425735,0.728459057,37.26215842,-9.250938261
YM1D_3_20_1_S,0.767457315,-0.191281489,39.05051496,-8.54524709
YM1D_3_20_2_Rt,0.774436314,-0.116139287,38.44719321,-8.344915359
YM1D_3_20_2_Rz,0.475721288,1.247441196,39.08047473,-9.580126583
YM1D_3_20_2_S,0.836270779,-0.47281427,39.10903593,-9.437176302
YM1D_3_20_3_Rt,0.82467513,0.253560344,39.39564788,-8.237199303
YM1D_3_20_3_Rz,0.515750262,0.819631595,37.65644794,-9.036512841
YM1D_3_20_3_S,0.799320555,-0.007934517,39.53182924,-8.74054536
YM2A_1_1_1_Rt,0.833662701,0.095769349,36.37149075,-7.180611968
YM2A_1_1_1_Rz,0.509336552,1.276902427,35.64378346,-7.724941471
YM2A_1_1_1_S,0.736932826,0.620604151,36.60624218,-7.987721231
YM2A_1_1_2_Rt,0.739698254,0.342390751,33.10325642,-6.834849125
YM2A_1_1_2_Rz,0.531927057,0.116151283,33.51190915,-7.401900187
YM2A_1_1_2_S,0.763054937,0.14468599,36.74596346,-8.237658372
YM2A_1_1_3_Rt,0.70776005,0.015260709,35.14446793,-7.022548954
YM2A_1_1_3_Rz,0.497688067,0.916142194,34.87874723,-7.551072156
YM2A_1_1_3_S,0.754865805,-0.264990884,36.59501338,-8.199130512
YM2A_1_20_1_Rt,0.856160492,0.091856007,34.80616042,-6.689770706
YM2A_1_20_1_Rz,0.581830205,0.833697681,36.83141816,-7.572535523
YM2A_1_20_1_S,0.761877294,0.59724199,38.02565339,-7.331510972
YM2A_1_20_2_Rt,0.929075677,0.369919781,35.28305846,-6.829624458
YM2A_1_20_2_Rz,0.591266224,0.287718446,36.31250896,-7.698503087
YM2A_1_20_2_S,0.803310473,0.700754782,38.46656032,-8.012926062
YM2A_1_20_3_Rt,0.781406035,-0.071531831,36.64072984,-6.977413174
YM2A_1_20_3_Rz,0.506315827,-0.098932276,37.7663365,-7.349364642
YM2A_1_20_3_S,0.748634301,-0.425707951,38.35187329,-7.509055806
YM2A_2_1_1_Rt,0.793459238,0.845787637,35.44023929,-7.301229648
YM2A_2_1_1_Rt,0.789187091,0.517386363,35.48513106,-7.211113848
YM2A_2_1_1_Rt,0.786698786,0.622474771,35.42594165,-7.277462844
YM2A_2_1_1_Rz,0.562322588,1.397501775,37.24974506,-7.469577848
YM2A_2_1_1_S,0.874094558,0.704322473,36.55904934,-8.283590907
YM2A_2_1_2_Rt,0.741162539,-0.178824336,34.13010984,-6.784301648
YM2A_2_1_2_Rz,0.581447487,0.602265462,36.8808336,-7.404219135
YM2A_2_1_2_S,0.810793188,0.499197985,36.70661344,-7.540878262
YM2A_2_1_3_Rt,0.75761569,0.020237359,33.25976312,-6.402052206
YM2A_2_1_3_Rz,0.46029929,1.278266852,35.5963093,-6.928883042
YM2A_2_1_3_S,0.716196089,-0.189939456,36.14290186,-7.56563535
YM2A_2_20_1_Rt,0.912123108,-0.551237946,34.93317974,-6.800972134
YM2A_2_20_1_Rt,0.900194473,-0.534100624,34.8571584,-6.800012522
YM2A_2_20_1_Rt,0.9217502,-0.49075328,34.83555974,-6.505411601
YM2A_2_20_1_Rt,0.917281314,-0.583496434,34.95114449,-6.813447092
YM2A_2_20_1_Rt,0.906857553,-0.461519025,34.75713589,-6.598493977
YM2A_2_20_1_Rt,0.915144858,-0.532084468,34.8597717,-6.815366316
YM2A_2_20_1_Rt,0.917047099,-0.390953583,34.89301664,-6.523644231
YM2A_2_20_1_Rt,0.918245384,-0.560310646,34.84371023,-6.457430995
YM2A_2_20_1_Rt,0.913889794,-0.504866369,34.70393672,-6.729001225
YM2A_2_20_1_Rt,0.911845897,-0.407082827,34.71353533,-6.350914049
YM2A_2_20_1_Rz,0.483351256,-0.168168399,36.62863309,-7.398810487
YM2A_2_20_1_Rz,0.476783612,-0.054255612,36.60825181,-7.56290416
YM2A_2_20_1_Rz,0.476060433,0.058649096,36.4083526,-7.29613199
YM2A_2_20_1_Rz,0.485781307,-0.24377423,36.48316925,-7.569621445
YM2A_2_20_1_Rz,0.478724582,0.202804216,36.41250895,-7.121482583
YM2A_2_20_1_Rz,0.476813092,-0.085506023,36.50892764,-7.450629541
YM2A_2_20_1_Rz,0.478565539,0.094939896,36.51150527,-7.20113039
YM2A_2_20_1_Rz,0.482517291,0.285466592,36.29340391,-6.525563455
YM2A_2_20_1_Rz,0.494762118,-0.294178118,36.47152518,-7.290374317
YM2A_2_20_1_Rz,0.480335963,0.158448794,36.5203014,-7.11092685
